sta,latitude,longitude,elevation
PBNC,8.3714,-83.1271,248.0
PEZE,9.3826,-83.6775,807.0
PICA,10.0255,-83.7858,2565.0
PIRO,8.4041,-83.3364,40.0
PLAN,8.671,-83.6805,133.0
PNCB,9.5895,-85.0918,31.0
PNE2,10.1951,-85.8289,40.0
PNPB,8.6844,-83.2284,110.0
PNUA,10.5955,-83.8399,49.0
POA2,10.1751,-84.2489,2493.0
POA5,10.2044,-84.2297,2425.0
POPE,10.0635,-85.2634,37.0
POTG,9.0525,-83.1189,674.0
PUJE,10.1139,-85.2725,42.0
QPSB,9.3919,-84.1239,52.0
QPSR,9.3919,-84.1239,52.0
RIFO,10.3172,-83.9228,139.0
RIMA,9.7666,-83.8636,1665.0
RIN3,10.7883,-85.3652,870.0
RIOS,8.7005,-83.5143,81.0
SAJU,10.0673,-85.7105,90.0
SRBA,9.2321,-83.3601,974.0
TAM,10.2635,-85.8482,5.0
TBLN,9.8237,-83.9993,1596.0
TERA,10.1706,-84.198,2010.0
TIG2,9.0284,-83.2969,580.0
TJAR,9.8504,-83.9302,1414.0
TLLA,10.0016,-83.7753,2688.0
VACR,10.472,-84.675,370.0
VAVL,10.4373,-84.7091,749.0
VICA,9.9845,-83.8446,3358.0
VICI1,9.9732,-83.8605,3424.0
VICI2,9.9741,-83.8642,3402.0
VIMO,10.0242,-83.9432,1754.0
VIRE,9.9668,-83.8975,2971.0
VMAR,10.8125,-85.1205,580.0
VPTE,10.1718,-84.1985,2109.0
VPVF,10.2045,-84.2297,2431.0
VRLE,10.7883,-85.3652,921.0
VTCE,10.0246,-83.7568,3178.0
VTCG,10.0147,-83.7586,3136.0
VTCV,9.9831,-83.7267,1664.0
VTLA,10.0027,-83.7752,2724.0
VTLO,9.7666,-83.8636,1665.0
VTRE,10.0018,-83.7945,2706.0
VTRT,10.002,-83.7927,2709.0
VTUC,10.024,-83.762,3191.0
VTUN,10.0226,-83.7635,3239.0
ACOS,9.795,-84.1639,1180.0
ALIB,10.5994,-85.5396,72.0
AMPA,9.8969,-84.0623,1177.0
ARE1,10.461,-84.719,800.0
ARTO,10.3442,-84.2143,431.7999878
ARZA,9.9912,-84.6677,226.0
ATEN,9.9784,-84.3824,709.0
BAGA,10.4309,-85.0923,124.0
BELE,9.9761,-84.1878,908.0
BITO,9.6182,-84.621,24.0
BRIB,9.62,-82.8178,43.0
BURE,9.1727,-83.3376,387.0
CARI,10.3708,-83.7268,73.59999847
CAYA,9.9167,-83.8112,1840.0
CBL1,9.5884,-85.0919,43.0
CENT,9.9729,-84.0044,1187.0
CHIL,11.0315,-84.7101,58.0
CNAS,10.5281,-85.2589,56.0
CNG1,10.8847,-84.7914,60.0
CORO,9.9732,-84.0028,1427.400024
CRUZ,11.0787,-85.6329,258.0
CVT1,10.0146,-83.7593,3120.0
CVTC,10.0183,-83.7599,3306.0
CVTQ,10.0045,-83.7673,2837.0
CVTR,10.02,-83.7593,3225.0
CVTV,10.0041,-83.7493,2561.0
DELF,10.4447,-85.553,27.0
DOMI,9.9817,-84.0905,1203.699951
DRK0,9.2632,-83.245,1468.0
EDIA,9.999,-84.1236,1181.0
EGUA,10.2123,-83.5897,46.0
ELI1,10.645,-85.5528,82.0
ENAS,9.9787,-84.8353,16.0
ERIA,10.6343,-85.4399,164.0
FITO,8.6256,-83.1544,21.0
GREC,10.0742,-84.309,1016.0
ICC1,5.5439,-87.0551,10.0
ICC2,5.5479,-87.0433,22.0
ICC3,5.5434,-87.0569,5.0
ICCO,5.5437,-87.0566,10.0
ICR3,9.98,-83.8368,3370.0
IRES,10.0962,-83.5047,83.90000153
ITAL,10.4494,-84.2437,169.6999969
JIME,8.5372,-83.3135,29.0
JUNT,10.2817,-84.9587,157.0
LCR2,9.7415,-84.0053,1704.0
LIMO,9.9936,-83.0271,38.0
LUJA,9.9195,-84.0553,1196.0
LUPE,9.948,-84.055,100.0
MARA,10.0195,-85.4255,629.0
MEXI,9.9419,-84.0859,1158.0
NARA,10.0978,-84.377,1059.0
NELY,8.6477,-82.9417,67.0
NICO,10.1452,-85.453,139.0
OROT,9.9053,-84.5242,229.0
PALA,10.0545,-84.4345,1018.0
PANO,8.96,-83.4584,33.0
PAQE,9.8195,-84.9338,46.0
PARA,9.8352,-83.8669,1344.400024
